Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
Lafayette,112.053,116.162,0.397922,55.8,53.5,17.1,16.8,27.7,34.5,64.5024,-6.79617
VCU,110.352,96.1304,0.830142,48.7,49.5,15.7,23.5,31.8,30.6,66.5889,3.14878
Iowa,115.337,94.123,0.911929,48.1,45.6,17.1,18.9,35.6,30.3,63.9704,1.97332
Alabama,111.811,100.421,0.774794,50.7,47.4,18.7,18.9,29.6,32.0,62.1435,-1.79571
Tennessee Tech,103.447,111.019,0.307388,48.8,53.1,20.5,18.7,36.4,29.2,65.9955,-13.1343
NJIT,105.471,106.509,0.471876,52.3,46.4,20.5,19.0,28.8,33.8,66.5303,-6.06194
Alabama A&M,95.1543,115.516,0.0970876,44.7,50.5,21.9,18.3,35.2,36.4,62.8464,-15.6803
Dartmouth,100.994,104.066,0.414701,49.2,49.9,20.3,21.2,30.9,28.5,62.9684,-8.80065
La Salle,100.814,95.0799,0.662285,46.7,45.8,19.9,20.1,29.6,30.8,64.2172,-6.07678
Tulsa,102.462,94.8142,0.709317,47.1,45.5,17.7,19.7,30.8,28.5,63.7224,-0.227356
Incarnate Word,105.995,113.39,0.315275,52.0,51.4,15.7,17.9,25.7,31.5,67.0644,-5.76999
Grand Canyon,106.104,114.484,0.294384,50.4,49.6,17.1,16.3,26.8,33.9,64.3842,-9.51593
Michigan St.,117.907,94.8071,0.924672,53.2,44.9,17.5,16.5,33.5,27.0,63.3279,2.97339
Cal St. Fullerton,99.0839,109.083,0.248681,45.7,51.3,19.2,16.6,28.5,27.1,65.7564,-15.7076
Southeastern Louisiana,96.6579,108.935,0.201798,50.9,50.4,22.5,19.4,29.1,32.2,66.1713,-17.2945
UC Riverside,98.0976,102.25,0.383024,46.7,49.0,20.2,18.7,30.7,28.7,65.0801,-9.86321
Clemson,105.879,95.2169,0.772163,46.0,45.6,18.6,17.7,34.1,31.4,61.5558,-3.09169
Colorado,107.859,101.296,0.673019,48.4,48.9,19.9,16.9,34.4,27.9,64.4962,-5.55673
Coastal Carolina,106.793,104.766,0.554873,50.0,47.7,17.5,16.9,34.8,28.0,63.4513,-4.83484
North Carolina A&T,93.97,113.719,0.100322,44.6,50.4,23.6,18.8,34.1,34.4,62.0498,-17.9545
Washington,108.642,104.0,0.622973,49.3,47.1,17.5,16.8,31.4,33.2,65.4084,-4.5511
Colorado St.,111.803,100.33,0.776463,50.1,48.7,16.1,18.0,34.1,25.4,66.4693,1.4809
UMBC,88.9726,110.083,0.0795523,46.3,51.2,24.1,19.7,23.5,30.5,64.444,-20.4671
Louisiana Monroe,100.065,99.9741,0.502607,45.6,44.7,18.0,17.2,32.6,29.4,61.4272,-6.65836
The Citadel,103.493,121.704,0.134234,51.7,55.1,21.7,15.9,31.3,34.6,58.4562,-14.4286
Hofstra,110.937,106.343,0.619249,52.3,49.5,16.0,19.6,32.7,28.4,68.7652,-8.01827
UMass Lowell,93.7005,108.763,0.152607,47.9,53.9,20.5,23.3,21.6,30.4,63.507,-11.5256
South Alabama,101.599,111.418,0.257132,47.8,49.0,20.9,15.2,30.0,33.1,68.1829,-15.0304
Butler,109.933,90.7722,0.900467,48.4,46.7,17.0,19.5,34.7,25.3,63.272,3.35974
SIU Edwardsville,97.3103,105.026,0.2937,48.7,49.3,20.3,19.8,28.8,31.9,65.9504,-11.5503
Northern Colorado,109.857,118.268,0.299785,53.0,55.7,16.2,20.0,33.6,34.3,62.8939,-10.4967
Wisconsin,130.542,95.8447,0.972161,54.8,47.7,12.4,15.8,32.1,23.7,58.7189,11.258
Florida A&M,85.6834,117.575,0.025612,41.3,53.5,21.8,18.5,26.8,35.5,65.7145,-22.9953
TCU,109.319,96.5888,0.805925,47.9,44.1,18.4,20.0,37.5,33.4,63.4784,-2.77275
Middle Tennessee,102.388,102.132,0.5072,47.9,49.9,20.3,20.3,31.6,26.1,60.8083,-8.51831
Oregon,115.798,101.285,0.823458,52.3,48.0,16.9,16.7,30.2,31.5,66.3149,2.95439
Harvard,104.384,96.9191,0.701258,47.1,46.6,18.4,20.1,32.4,28.4,60.9733,-1.08275
Florida,107.606,91.6179,0.864102,49.6,46.0,19.6,21.6,31.7,29.1,62.0718,-2.98427
Saint Joseph's,100.005,99.3189,0.519793,45.3,48.3,19.2,19.0,31.5,30.4,63.358,-9.37606
Saint Mary's,111.793,99.8105,0.78647,52.4,48.0,18.8,15.4,33.2,24.7,62.5783,-0.694455
Texas A&M Corpus Chris,101.473,104.742,0.409826,49.2,48.3,19.4,20.6,30.3,33.1,62.4356,-8.51539
Ohio St.,115.519,95.3516,0.900824,54.2,46.4,17.0,21.6,33.5,32.0,65.6467,2.39515
Florida St.,105.627,98.6184,0.687731,50.1,47.3,21.9,18.0,31.8,31.9,65.9649,-3.44581
Seton Hall,109.391,100.779,0.719709,48.2,47.7,18.7,18.0,34.7,33.2,65.6319,-2.38431
North Carolina,121.174,94.6464,0.944875,51.6,45.4,18.2,17.7,40.0,31.2,69.2838,6.38167
Houston Christian,100.856,117.599,0.146012,47.4,52.8,21.4,17.2,37.6,31.5,66.0419,-11.7064
Lehigh,100.548,102.057,0.45729,49.0,46.8,19.9,17.4,29.2,30.4,66.2889,-9.05751
Navy,99.7523,106.812,0.31295,49.1,53.1,19.4,20.1,29.5,30.0,61.1109,-13.566
Saint Francis,100.043,103.429,0.405458,50.1,49.5,19.4,20.6,25.7,31.4,62.5055,0.0
Santa Clara,106.545,106.144,0.51082,48.2,51.7,17.1,19.1,28.1,34.1,60.9898,-8.65303
Loyola Marymount,102.21,110.499,0.289722,46.3,53.7,21.5,18.0,33.5,34.1,62.2432,-12.821
Delaware,100.972,109.08,0.291463,47.1,50.0,18.4,15.6,28.8,31.5,65.1626,-13.7301
Miami OH,101.122,107.223,0.33766,49.4,53.1,19.4,20.6,25.9,29.6,64.7431,-11.8855
New Mexico,100.991,98.8229,0.56207,47.9,46.7,20.2,18.6,33.3,26.1,62.1572,-8.04605
Coppin St.,98.9649,117.292,0.124134,47.0,54.5,18.4,19.3,25.3,38.1,73.7279,-16.2829
Temple,106.185,94.4334,0.793928,44.2,44.5,14.6,18.8,31.8,29.2,65.2992,-0.269515
Monmouth,100.016,102.205,0.438066,47.9,47.2,19.9,21.4,30.0,33.6,63.2753,-8.71016
Southern,93.1494,104.137,0.217171,45.1,44.0,20.1,20.6,32.1,34.7,64.5202,-11.429
Southern Miss,96.0826,110.426,0.167975,48.9,53.5,22.2,20.1,26.6,34.2,61.7312,-13.5708
California,104.362,99.2209,0.641279,48.9,46.8,16.6,14.3,26.0,25.1,65.4512,-3.39537
Georgia St.,111.669,100.046,0.779716,52.0,45.8,16.3,23.2,30.0,34.8,62.5343,-2.61048
Miami FL,112.915,98.2392,0.83218,49.9,47.6,15.9,17.3,29.5,29.3,62.3057,0.690763
Georgia,109.172,94.7872,0.835458,48.5,44.4,19.2,16.7,32.2,28.5,64.2226,1.52457
North Dakota,98.1499,110.792,0.198884,48.4,53.2,17.9,18.1,24.7,29.0,67.3628,-15.9574
Princeton,107.374,106.329,0.528075,54.3,49.6,18.8,18.5,20.7,26.4,64.5747,-8.71931
Saint Louis,95.8711,104.981,0.260395,46.2,51.6,21.7,20.9,27.2,32.1,62.825,-12.6758
Arizona St.,109.417,99.3201,0.752757,50.9,50.2,20.7,19.1,31.8,25.1,65.6615,-3.77111
Purdue Fort Wayne,106.494,109.58,0.418618,53.3,51.3,18.7,16.0,25.1,26.6,64.4143,0.0
Iona,113.184,107.737,0.638114,54.7,48.1,17.2,16.7,28.7,33.2,69.7778,-1.80324
Stetson,95.9713,115.935,0.102178,48.1,51.6,18.3,16.4,26.1,35.1,65.6893,-17.5541
Marshall,96.6883,103.83,0.305855,46.2,48.6,21.6,18.6,28.2,32.5,69.7498,-14.5001
Eastern Michigan,101.912,99.7123,0.562407,46.9,46.2,17.8,21.5,30.2,33.7,65.6745,-6.05438
Niagara,100.479,111.338,0.235031,45.6,53.7,20.6,18.1,32.0,29.5,64.5365,-15.6605
Campbell,98.1839,109.545,0.221114,49.8,52.5,20.1,19.0,27.5,30.8,61.1821,-17.2297
Mercer,105.277,104.334,0.525843,49.3,48.9,17.6,19.2,33.3,32.8,60.4788,-9.23429
Savannah St.,87.7473,106.047,0.101714,44.0,53.0,24.7,24.8,30.0,33.7,64.8119,-16.14
Oregon St.,100.07,93.4772,0.686487,46.6,44.7,19.1,23.7,28.5,32.8,60.2458,-4.03355
Lipscomb,100.071,112.222,0.21118,48.1,54.1,18.7,17.8,29.2,29.4,67.6148,-11.7053
Kennesaw St.,93.4134,114.983,0.0840095,45.3,50.7,21.3,16.2,29.6,35.1,65.4867,-16.5831
James Madison,105.199,109.38,0.389786,51.9,50.2,20.3,17.9,29.0,31.9,64.1043,-6.907
Georgetown,114.261,95.9807,0.881311,51.3,47.1,19.2,20.2,34.3,31.0,63.9418,3.60161
USC Upstate,104.06,104.755,0.480886,49.5,47.1,16.9,20.3,35.2,33.5,63.0178,-6.62
