Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Abilene Christian,98.4909,108.353,0.250212,52.5,52.8,21.0,21.4,23.0,31.7,65.7242,2017,-12.3348
Rider,100.875,105.267,0.37988,49.0,49.0,19.6,18.1,33.0,27.1,72.0915,2017,-9.9113
Boston College,104.835,102.895,0.553487,51.6,53.2,20.1,17.2,25.6,24.2,71.1588,2017,-9.78764
Arizona,118.36,96.4548,0.913216,53.7,47.7,16.6,17.4,33.2,26.0,65.7283,2017,7.9045
Penn St.,104.076,97.7287,0.673418,47.2,49.2,17.9,20.3,26.6,30.6,70.757,2017,-4.93207
Hawaii,97.4173,104.308,0.313035,48.5,50.8,20.3,20.3,28.0,28.9,67.2512,2017,-11.5067
San Diego,99.4109,108.435,0.269088,48.2,52.2,18.7,15.1,23.6,25.5,63.3329,2017,-9.90156
UC Davis,98.2984,101.598,0.406201,48.4,48.7,20.3,19.6,29.1,28.3,68.952,2017,-7.36526
LSU,109.034,110.417,0.463826,50.2,54.6,19.8,16.9,31.2,31.3,72.0438,2017,-8.7928
St. Francis NY,87.7594,112.128,0.0563629,41.0,52.7,17.4,20.0,27.9,33.4,67.1175,2017,-22.349
Fresno St.,104.436,97.6627,0.683772,50.8,48.5,18.8,20.6,27.2,27.5,68.4003,2017,-3.73187
UMKC,103.522,108.141,0.377071,50.6,52.6,19.7,20.0,27.1,32.2,70.5615,2017,-9.15054
Baylor,117.003,94.9689,0.916785,52.5,46.1,20.6,17.1,39.8,29.4,63.734,2017,7.82814
Oral Roberts,103.738,110.269,0.331351,49.6,54.7,16.7,16.1,25.0,29.4,69.3292,2017,-14.8558
Ohio,106.185,99.8563,0.669656,53.2,47.3,17.4,18.1,25.6,27.7,70.2381,2017,-5.82318
Winthrop,106.269,102.171,0.611173,53.5,46.7,17.8,18.6,26.3,28.4,70.9324,2017,-1.6689
Northern Illinois,99.6881,102.714,0.414878,46.4,50.8,19.5,20.5,33.5,28.1,66.7708,2017,-11.8982
Georgia Tech,100.096,91.6708,0.733238,47.4,46.0,19.3,18.8,27.7,30.8,67.8842,2017,-2.16675
Kent St.,105.059,103.725,0.536684,48.2,50.1,17.9,19.0,38.1,29.8,68.1594,2017,-7.00751
High Point,98.4182,108.275,0.250177,48.3,52.6,19.2,19.6,28.1,28.0,65.8328,2017,-11.3196
Weber St.,108.025,109.805,0.453162,56.0,50.6,16.9,16.5,21.4,30.3,66.5765,2017,-8.55319
Maine,91.6111,110.222,0.10651,45.5,53.0,19.1,16.6,26.9,28.8,68.2422,2017,-18.601
Sam Houston St.,96.7357,103.819,0.307319,47.1,50.0,19.3,22.2,31.6,27.4,70.261,2017,-8.4492
Incarnate Word,101.599,114.416,0.203231,51.4,51.5,18.6,16.6,22.2,32.4,71.6996,2017,-13.1054
SMU,120.872,95.0799,0.940485,54.6,46.0,16.9,18.3,37.2,26.4,63.404,2017,6.49309
